figure_id,figure_title,file_path,source_run,source_file,recommended_section,main_or_supplementary,reason,exists
Fig1,Model workflow and CAD-driven geometry,results/paper_figures/manuscript_ready/Fig1_model_workflow_and_geometry.png,RUN006-RUN011,generated from stage diagnostics and audit tables,Numerical Model and Simulation Setup,main,Workflow and geometry overview,true
Fig2,Baseline field-coupled dielectric loss and temperature,results/paper_figures/manuscript_ready/Fig2_baseline_field_dielectric_temperature.png,RUN009A,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,Results 4.1,main,Baseline electro-thermal distribution,true
Fig3,RUN010 Tmax risk heatmap,results/paper_figures/manuscript_ready/Fig3_run010_Tmax_risk_heatmap.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,Results 4.2/4.4,main,Primary global-temperature risk map,true
Fig4,RUN010 contact temperature risk heatmap,results/paper_figures/manuscript_ready/Fig4_run010_contact_temperature_risk_heatmap.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,Results 4.2/4.4,main,Contact degradation response,true
Fig5,Safe load boundary by oil temperature and Rc,results/paper_figures/manuscript_ready/Fig5_safe_load_boundary_by_oil_and_Rc.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_boundary_summary.csv,Results 4.4,main,Diagnostic safe-load boundary,true
Fig6,Heat source decomposition representative cases,results/paper_figures/manuscript_ready/Fig6_heat_source_decomposition_representative_cases.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_source_decomposition_by_case.csv,Results 4.3,main,Joule/contact/dielectric source comparison,true
Fig7,RUN008 vs RUN010 temperature difference,results/paper_figures/manuscript_ready/Fig7_run008_vs_run010_temperature_difference.png,RUN010_vs_RUN008,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,Results 4.3,main,Effect of field-coupled Qdielectric,true
Fig8,Mesh independence summary,results/paper_figures/manuscript_ready/Fig8_mesh_independence_summary.png,RUN011A,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,Results 4.5,main,Numerical reliability evidence,true
Fig9,Parameter sensitivity ranking,results/paper_figures/manuscript_ready/Fig9_parameter_sensitivity_ranking.png,RUN011B,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,Results 4.5,main,Material/boundary sensitivity ranking,true
FigS1,Full run audit flow,results/paper_figures/manuscript_ready/FigS1_full_run_audit_flow.png,RUN006-RUN011,generated from audit chain,Supplementary,supplementary,Audit trail,true
FigS2,Qcontact I2Rc validation,results/paper_figures/manuscript_ready/FigS2_Qcontact_I2Rc_validation.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_source_decomposition_by_case.csv,Supplementary,supplementary,Contact heat validation,true
FigS3,Qjoule I2 scaling validation,results/paper_figures/manuscript_ready/FigS3_Qjoule_I2_scaling_validation.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_source_decomposition_by_case.csv,Supplementary,supplementary,Joule heat validation,true
FigS4,Heat balance residual distribution,results/paper_figures/manuscript_ready/FigS4_heat_balance_residual_distribution.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_balance_by_case.csv,Supplementary,supplementary,Heat balance validation,true
FigS5,Electric-field diagnostic summary,results/paper_figures/manuscript_ready/FigS5_Efield_diagnostic_summary.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/electric_field_diagnostics_by_case.csv,Supplementary,supplementary,Field singularity review,true
FigS6,Dielectric loss field-to-ref ratio,results/paper_figures/manuscript_ready/FigS6_dielectric_loss_field_to_ref_ratio.png,RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,Supplementary,supplementary,DIELECTRIC_LOSS_REVIEW_REQUIRED explanation,true
FigS7,Material sensitivity each parameter,results/paper_figures/manuscript_ready/FigS7_material_sensitivity_each_parameter.png,RUN011B,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,Supplementary,supplementary,Detailed OFAT sensitivity,true
