claim_id,claim_text,appears_in_section,evidence_source_file,evidence_metric,figure_or_table_reference,citation_needed,risk_of_overclaim,status,notes
C1,RUN010 completed 125 cases and all were overall valid.,3.5; 4.2,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_validity_summary.csv,overall_valid true count,Table 2; Table 3; Fig. 3,no,LOW,OK,125/125 overall_valid
C2,RUN010 Tmax_global_C ranged from 67.397 to 134.974 degC.,4.2,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,min/max Tmax_global_C,Table 2; Fig. 3,no,LOW,OK,Primary 125-case full field-coupled result
C3,RUN010 had no thermal_risk_case in the global diagnostic risk zone.,4.3,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk_zone thermal_risk count,Table 2; Fig. 5,no,MEDIUM_HANDLED,OK,"No thermal-risk case is a matrix-specific diagnostic result, not a universal safety conclusion."
C4,"RUN010 global risk-zone counts were safe 119, attention 4, and warning 2.",4.3,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk_zone counts,Table 2; Fig. 3; Fig. 5,"yes, for diagnostic risk zoning concept",MEDIUM_HANDLED,OK,"Risk zones are explicitly described as diagnostic classes, not standard limits."
C5,RUN010 maximum contact-layer temperature was 129.925 degC.,4.2,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,max Tmax_contact_C,Table 2; Fig. 4,no,LOW,OK,Contact diagnostic metric
C6,RUN010 increased Tmax_global_C over RUN008 by a mean of 0.617 degC.,4.4,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,mean delta_Tmax_global_C,Table 2; Fig. 7,no,LOW,OK,Maximum delta=2.816 degC; changed risk zones=2
C7,RUN011A medium-versus-fine maximum Tmax_global error was 0.355%.,3.5; 4.6,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,max err_Tmax_global_pct for mesh_level=medium,Table 5; Fig. 8,"yes, for mesh-convergence criterion",LOW,OK,Medium comparisons passed 3/3
C8,RUN011B sensitivity ranking was tan_delta > epsr > Rc0 > h_air > k_RIP > h_oil.,3.5; 4.6,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,ranked sensitivity score from S_Tmax_global/S_Tmax_contact/S_Qdielectric,Table 6; Fig. 9,"no, result is internal; references needed for parameter background",LOW,OK,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil
C9,"DIELECTRIC_LOSS_REVIEW_REQUIRED was retained because field-coupled RIP dielectric loss exceeded the average-field reference, but it was not treated as model failure.",3.5; 4.1; 4.4,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,dielectric_loss_review_required and field_singularity_flag,Section 4.1; Section 4.4; Fig. S6,"yes, for dielectric-loss theory and field interpretation",MEDIUM_HANDLED,OK,Review flag retained; not converted into a failure or removed.
C10,"Contact-resistance degradation was represented as a parameterized equivalent model, not as a measured defect.",3.3; 4.5,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_case_matrix.csv,contact_resistance_multiplier_pu definition,Section 3.3; Section 4.5,"yes, for contact degradation modeling background",MEDIUM_HANDLED,OK,Parameterized model wording avoids measured-defect overclaim.
