manuscript_section,sentence_or_claim,numerical_value_if_any,evidence_source_file,evidence_metric_or_column,figure_or_table_callout,citation_or_placeholder,evidence_status,overclaim_risk,required_action
4.1,RUN009A baseline global maximum temperature is 88.589 degC.,88.589,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,Tmax_global_C,Fig. 2; Table 2,,OK,LOW,Use exact raw value before final typesetting.
4.1,RUN009A field-coupled RIP dielectric loss is 28.049 W.,28.049,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,Qdielectric_RIP_field_W,Fig. 2; Table 2,[REF_DIELECTRIC_LOSS_THEORY],OK,LOW,Use exact raw value before final typesetting.
4.1,RUN009A field/reference dielectric-loss ratio is 11.020.,11.020,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,Qdielectric_ratio_field_to_ref,Fig. S6; Table 2,[REF_DIELECTRIC_LOSS_THEORY],OK,LOW,Use exact raw value before final typesetting.
4.2,RUN010 Tmax_global_C range is 67.397-134.974 degC.,67.397-134.974 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,min/max Tmax_global_C,Fig. 3; Table 2,,OK,LOW,Keep as matrix-specific RUN010 result.
4.2,RUN010 Tmax_contact_C maximum is 129.925 degC.,129.925 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,max Tmax_contact_C,Fig. 4; Table 2,,OK,LOW,Keep as contact diagnostic metric.
4.3,"RUN010 global risk-zone counts are safe 119, attention 4, warning 2, thermal-risk 0.","safe 119, attention 4, warning 2, thermal-risk 0",results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk_zone counts,Fig. 3; Fig. 5; Table 4,[REF_RISK_DIAGNOSTIC_METHOD],OK,MEDIUM_HANDLED,"Must state diagnostic zoning only, not a standard limit."
4.3,"RUN010 contact risk-zone counts are contact_safe 115, contact_attention 6, contact_warning 4, contact-risk 0.","contact_safe 115, contact_attention 6, contact_warning 4, contact-risk 0",results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,contact_risk_zone counts,Fig. 4; Table 2,[REF_RISK_DIAGNOSTIC_METHOD],OK,MEDIUM_HANDLED,Must state diagnostic contact zoning only.
3.5,RUN010 heat balance max residual is 2.678%.,2.678%,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_balance_by_case.csv,max abs residual_percent_Qgenerated,Table 3; Fig. S4,,OK,LOW,Use as numerical audit evidence.
3.5,RUN010 field_singularity_flag is 0/125.,0/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/electric_field_diagnostics_by_case.csv,field_singularity_flag true count,Fig. S5; Table 3,[REF_CONDENSER_BUSHING_ELECTROSTATICS],OK,LOW,Do not use as proof of physical validation.
3.5; 4.4,RUN010 dielectric_loss_review_required is 125/125.,125/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,dielectric_loss_review_required true count,Fig. S6; Table 3,[REF_DIELECTRIC_LOSS_THEORY],OK,MEDIUM_HANDLED,Flag must remain visible and explained.
4.4,"RUN008-vs-RUN010 mean delta_Tmax is 0.617 degC, max is 2.816 degC, and changed risk zones are 2/125.",mean 0.617 degC; max 2.816 degC; changed 2/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,delta_Tmax_global_C mean/max and risk_zone_changed count,Fig. 7; Table 2,[REF_DIELECTRIC_LOSS_THEORY],OK,LOW,Use only to compare approximate reference with field-coupled model.
3.5; 4.6,RUN011A medium-vs-fine max Tmax error is 0.355%.,0.355%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,max err_Tmax_global_pct where mesh_level=medium,Fig. 8; Table 5,[REF_MESH_CONVERGENCE],OK,LOW,Internal convergence evidence; external reference still needed.
3.5; 4.6,RUN011A medium-vs-fine max E95 error is 0.002%.,0.002%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,max err_E95_RIP_pct where mesh_level=medium,Fig. 8; Table 5,[REF_MESH_CONVERGENCE],OK,LOW,Internal convergence evidence; external reference still needed.
3.5; 4.6,RUN011A medium-vs-fine max Qdielectric error is 0.002%.,0.002%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,max err_Qdielectric_pct where mesh_level=medium,Fig. 8; Table 5,[REF_MESH_CONVERGENCE],OK,LOW,Internal convergence evidence; external reference still needed.
3.5; 4.6,RUN011B sensitivity ranking is tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil.,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,ranked max absolute sensitivity over S_Tmax_global/S_Tmax_contact/S_Qdielectric,Fig. 9; Table 6,[REF_RIP_BUSHING_THERMAL],OK,LOW,Internal OFAT ranking; explain parameter assumptions.
