case_id,run_id,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,residual_W,residual_percent,status,notes
RUN008_CASE_001,SOLID_ONLY_RISK_125_RUN008,14.7240860,31.7415487,-54.7308821,38.2248855,15.2355520,-0.511466051,-3.47366928,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_002,SOLID_ONLY_RISK_125_RUN008,24.4007919,35.9534059,-50.5200430,39.7556981,25.1890610,-0.788269046,-3.23050599,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_003,SOLID_ONLY_RISK_125_RUN008,37.1183907,41.5216026,-45.2582810,41.7952553,38.0585769,-0.940186214,-2.53293905,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_004,SOLID_ONLY_RISK_125_RUN008,53.1049095,48.5668524,-38.0551234,44.2751706,54.7868997,-1.68199020,-3.16729699,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_005,SOLID_ONLY_RISK_125_RUN008,72.6411970,57.1845177,-29.8318725,47.4328810,74.7855261,-2.14432915,-2.95194633,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_006,SOLID_ONLY_RISK_125_RUN008,14.9015785,38.1273360,-68.9862518,47.1162066,16.2572908,-1.35571221,-9.09777586,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_007,SOLID_ONLY_RISK_125_RUN008,24.7167696,42.3775055,-65.5814862,48.7966324,25.5926517,-0.875882092,-3.54367543,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_008,SOLID_ONLY_RISK_125_RUN008,37.6171510,48.0095636,-60.1434432,50.8444522,38.7105726,-1.09342161,-2.90671033,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_009,SOLID_ONLY_RISK_125_RUN008,53.8350258,55.1432777,-52.7465284,53.3348912,55.7316405,-1.89661467,-3.52301246,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_010,SOLID_ONLY_RISK_125_RUN008,73.6537518,63.8701823,-44.4990579,56.5391407,75.9102651,-2.25651336,-3.06367742,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_011,SOLID_ONLY_RISK_125_RUN008,15.0784795,44.5027971,-83.9180998,56.0959900,16.6806873,-1.60220783,-10.6257918,INVALID_CASE,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_012,SOLID_ONLY_RISK_125_RUN008,25.0351249,48.8147606,-79.7074843,57.7039290,26.8112053,-1.77608041,-7.09435411,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
RUN008_CASE_013,SOLID_ONLY_RISK_125_RUN008,38.1154892,54.4974833,-75.0473736,59.9057206,39.3558303,-1.24034105,-3.25416535,SOLVED_VALID,"negative oil heat flux means heat entering from hot oil boundary; 2*pi*r axisymmetric heat-flux weighting"
