case_id,status,valid_temperature,valid_heat_balance,valid_Qjoule,valid_Qcontact,valid_selection,overall_valid,failure_reason
RUN007_CASE_001,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_002,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_003,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_004,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_005,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_006,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_007,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_008,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_009,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_010,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_011,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_012,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_013,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_014,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_015,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_016,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_017,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_018,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_019,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_020,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_021,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_022,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_023,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_024,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_025,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_026,SOLVED_VALID,true,true,true,true,true,true,""
RUN007_CASE_027,SOLVED_VALID,true,true,true,true,true,true,""
