item_id,item_type,caption_short,file_or_table_path,first_callout_section,first_callout_sentence,main_or_supplementary,notes
Fig. 1,figure,Model workflow and CAD-driven geometry,results/paper_figures/manuscript_ready/Fig1_model_workflow_and_geometry.png,3.1,"The modeling workflow, geometry abstraction, and audit path are summarized in Fig. 1.",main,exists=true
Fig. 2,figure,Baseline field-coupled dielectric loss and temperature,results/paper_figures/manuscript_ready/Fig2_baseline_field_dielectric_temperature.png,4.1,"The baseline potential, electric-field, dielectric-loss, and temperature indicators are shown in Fig. 2.",main,exists=true
Fig. 3,figure,RUN010 Tmax risk heatmap,results/paper_figures/manuscript_ready/Fig3_run010_Tmax_risk_heatmap.png,4.2,Fig. 3 presents the global temperature response.,main,exists=true
Fig. 4,figure,RUN010 contact temperature risk heatmap,results/paper_figures/manuscript_ready/Fig4_run010_contact_temperature_risk_heatmap.png,4.2,Fig. 4 presents the corresponding contact-region response.,main,exists=true
Fig. 5,figure,Safe load boundary by oil temperature and Rc,results/paper_figures/manuscript_ready/Fig5_safe_load_boundary_by_oil_and_Rc.png,4.3,"The diagnostic safe-load boundary decreases as oil temperature and contact-resistance multiplier increase, as shown in Fig. 5 and Table 4.",main,exists=true
Fig. 6,figure,Heat source decomposition representative cases,results/paper_figures/manuscript_ready/Fig6_heat_source_decomposition_representative_cases.png,4.2,The heat-source response underlying these trends is summarized for representative cases in Fig. 6.,main,exists=true
Fig. 7,figure,RUN008 vs RUN010 temperature difference,results/paper_figures/manuscript_ready/Fig7_run008_vs_run010_temperature_difference.png,4.4,"The risk zone changes in 2 of the 125 cases, as shown in Fig. 7.",main,exists=true
Fig. 8,figure,Mesh independence summary,results/paper_figures/manuscript_ready/Fig8_mesh_independence_summary.png,4.6,The mesh-independence results are shown in Fig. 8 and summarized in Table 5.,main,exists=true
Fig. 9,figure,Parameter sensitivity ranking,results/paper_figures/manuscript_ready/Fig9_parameter_sensitivity_ranking.png,4.6,The sensitivity ranking is shown in Fig. 9 and summarized in Table 6.,main,exists=true
Fig. S1,supplementary_figure,Full run audit flow,results/paper_figures/manuscript_ready/FigS1_full_run_audit_flow.png,Supplementary Figure Routing Note,Supplementary Fig. S1 documents the full run audit flow.,supplementary,exists=true
Fig. S2,supplementary_figure,Qcontact I2Rc validation,results/paper_figures/manuscript_ready/FigS2_Qcontact_I2Rc_validation.png,Supplementary Figure Routing Note,Supplementary Fig. S2 verifies Qcontact against I2Rc.,supplementary,exists=true
Fig. S3,supplementary_figure,Qjoule I2 scaling validation,results/paper_figures/manuscript_ready/FigS3_Qjoule_I2_scaling_validation.png,Supplementary Figure Routing Note,Supplementary Fig. S3 verifies Qjoule against I2 scaling.,supplementary,exists=true
Fig. S4,supplementary_figure,Heat balance residual distribution,results/paper_figures/manuscript_ready/FigS4_heat_balance_residual_distribution.png,Supplementary Figure Routing Note,Supplementary Fig. S4 reports the heat-balance residual distribution.,supplementary,exists=true
Fig. S5,supplementary_figure,Electric-field diagnostic summary,results/paper_figures/manuscript_ready/FigS5_Efield_diagnostic_summary.png,Supplementary Figure Routing Note,Supplementary Fig. S5 summarizes the electric-field diagnostic checks.,supplementary,exists=true
Fig. S6,supplementary_figure,Dielectric loss field-to-ref ratio,results/paper_figures/manuscript_ready/FigS6_dielectric_loss_field_to_ref_ratio.png,Supplementary Figure Routing Note,Supplementary Fig. S6 documents the field-to-reference dielectric-loss ratio.,supplementary,exists=true
Fig. S7,supplementary_figure,Material sensitivity each parameter,results/paper_figures/manuscript_ready/FigS7_material_sensitivity_each_parameter.png,Supplementary Figure Routing Note,Supplementary Fig. S7 gives detailed material-sensitivity responses.,supplementary,exists=true
Table 1,table,Stage audit summary,results/summary_tables/manuscript_ready/run_stage_audit_summary.csv,3.2,The stage audit table records this development path in Table 1.,main,exists=true
Table 2,table,Key result summary,results/summary_tables/manuscript_ready/key_result_summary.csv,3.2,The numerical quantities used later in the manuscript are indexed in Table 2.,main,exists=true
Table 3,table,Model validation evidence chain,results/summary_tables/manuscript_ready/model_validation_evidence_chain.csv,3.4,The validation evidence chain is summarized in Table 3.,main,exists=true
Table 4,table,RUN010 risk boundary summary,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_boundary_summary.csv,4.3,"The diagnostic safe-load boundary decreases as oil temperature and contact-resistance multiplier increase, as shown in Fig. 5 and Table 4.",main/supplementary,exists=true
Table 5,table,RUN011A mesh independence summary,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,4.6,The mesh-independence results are shown in Fig. 8 and summarized in Table 5.,main/supplementary,exists=true
Table 6,table,RUN011B sensitivity ranking summary,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,4.6,The sensitivity ranking is shown in Fig. 9 and summarized in Table 6.,main/supplementary,exists=true
