case_id,run_id,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,tan_delta_multiplier_pu,rip_aging_conductivity_multiplier_pu,pollution_multiplier_pu,source_model,notes
RUN008_CASE_001,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_002,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_003,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_004,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_005,SOLID_ONLY_RISK_125_RUN008,1.400000,1750.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_006,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_007,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_008,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_009,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_010,SOLID_ONLY_RISK_125_RUN008,1.400000,1750.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_011,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_012,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_013,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_014,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_015,SOLID_ONLY_RISK_125_RUN008,1.400000,1750.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_016,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_017,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_018,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_019,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_020,SOLID_ONLY_RISK_125_RUN008,1.400000,1750.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_021,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_022,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_023,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_024,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_025,SOLID_ONLY_RISK_125_RUN008,1.400000,1750.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_026,SOLID_ONLY_RISK_125_RUN008,0.600000,750.000000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_027,SOLID_ONLY_RISK_125_RUN008,0.800000,1000.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_028,SOLID_ONLY_RISK_125_RUN008,1.000000,1250.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
RUN008_CASE_029,SOLID_ONLY_RISK_125_RUN008,1.200000,1500.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,approximate_Qdielectric_ref,"source-fixed by-ID solid-only thermal diagnostic risk scan; not full electro-thermal coupling"
