claim_id,claim_text,source_run,source_file,source_metric,figure_or_table_reference,confidence_level,notes
C1,RUN010 completed 125 cases and all were overall valid.,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_validity_summary.csv,overall_valid true count,Table 2; Table 3; Fig. 3,high,125/125 overall_valid
C2,RUN010 Tmax_global_C ranged from 67.397 to 134.974 degC.,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,min/max Tmax_global_C,Table 2; Fig. 3,high,Primary 125-case full field-coupled result
C3,RUN010 had no thermal_risk_case in the global diagnostic risk zone.,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk_zone thermal_risk count,Table 2; Fig. 5,high,thermal_risk count=0
C4,"RUN010 global risk-zone counts were safe 119, attention 4, and warning 2.",RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk_zone counts,Table 2; Fig. 3; Fig. 5,high,Diagnostic risk zoning only; not IEC/IEEE limit
C5,RUN010 maximum contact-layer temperature was 129.925 degC.,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,max Tmax_contact_C,Table 2; Fig. 4,high,Contact diagnostic metric
C6,RUN010 increased Tmax_global_C over RUN008 by a mean of 0.617 degC.,RUN008_vs_RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,mean delta_Tmax_global_C,Table 2; Fig. 7,high,Maximum delta=2.816 degC; changed risk zones=2
C7,RUN011A medium-versus-fine maximum Tmax_global error was 0.355%.,RUN011A_MESH_INDEPENDENCE,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,max err_Tmax_global_pct for mesh_level=medium,Table 5; Fig. 8,high,Medium comparisons passed 3/3
C8,RUN011B sensitivity ranking was tan_delta > epsr > Rc0 > h_air > k_RIP > h_oil.,RUN011B_MATERIAL_BOUNDARY_SENSITIVITY,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,ranked sensitivity score from S_Tmax_global/S_Tmax_contact/S_Qdielectric,Table 6; Fig. 9,medium-high,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil
C9,"DIELECTRIC_LOSS_REVIEW_REQUIRED was retained because field-coupled RIP dielectric loss exceeded the average-field reference, but it was not treated as model failure.",RUN009A/RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,dielectric_loss_review_required and field_singularity_flag,Section 4.1; Section 4.4; Fig. S6,high,review count=125/125; field_singularity count=0
C10,"Contact-resistance degradation was represented as a parameterized equivalent model, not as a measured defect.",Model setup/RUN010,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_case_matrix.csv,contact_resistance_multiplier_pu definition,Section 3.3; Section 4.5,high,Avoids overclaiming measured defect behavior
