screen_id,z_start_mm,z_end_mm,length_mm,radius_mm,potential_kV,potential_role,is_fixed_potential,bc_type,comsol_implementation,material,source_id,source_url,public_data,assumed,sensitivity_required,notes
S00,-925.0,925.0,1850,35.00,72.75,fixed_high_voltage,true,Terminal/Electric Potential,Set Electric Potential V=72.75[kV] on S00/conductor-side electrode.,aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,false,false,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing.
S01,-772.5,772.5,1545,37.25,65.47,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S02,-727.5,727.5,1455,39.50,58.20,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S03,-683.5,683.5,1367,41.75,50.92,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S04,-639.5,639.5,1279,44.00,43.65,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S05,-595.5,595.5,1191,46.25,36.38,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S06,-550.5,550.5,1101,48.50,29.10,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S07,-504.0,504.0,1008,50.75,21.82,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S08,-455.5,455.5,911,53.00,14.55,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
S09,-417.5,417.5,835,55.25,7.28,initial_value_only,false,Floating Potential or Zero Charge,"Do not prescribe fixed voltage. Use Floating Potential with zero net charge if foil is modeled as conductor domain, or Zero Charge on unresolved thin-screen boundaries; potential_kV is only an initial solver value.",aluminum_foil_screen,MDPI_2025_126KV;ENGINEERING_ASSUMPTION,https://www.mdpi.com/1996-1073/18/13/3239,true,true,true,S01-S09 potentials are initialization only; lengths from public 126 kV table; radii generated from radial spacing. potential_kV is not a Dirichlet boundary for S01-S09.
