manuscript_section,source_file,source_section_or_rows,inserted_into_full_draft,figures_or_tables_used,evidence_lock_rows_used,reference_placeholders_used,status,notes
Introduction,docs/manuscript_draft_sections/RUN015/introduction_literature_review_en.md,Section 1,yes,none,boundary and placeholder rows,[REF_BRFG_DRAWING]; [REF_IEC_60137]; [REF_RIP_BUSHING_THERMAL]; [REF_CONDENSER_BUSHING_ELECTROSTATICS]; [REF_DIELECTRIC_LOSS_THEORY]; [REF_RISK_DIAGNOSTIC_METHOD],OK,Integrated with title/abstract context.
Literature Review,docs/manuscript_draft_sections/RUN015/introduction_literature_review_en.md,Section 2,yes,none,boundary and placeholder rows,[REF_RIP_BUSHING_THERMAL]; [REF_DIELECTRIC_LOSS_THEORY]; [REF_CONDENSER_BUSHING_ELECTROSTATICS]; [REF_COMSOL_FLOATING_POTENTIAL]; [REF_MESH_CONVERGENCE]; [REF_RISK_DIAGNOSTIC_METHOD],OK,Placeholder-aware only.
Methods,docs/manuscript_draft_sections/RUN014/methods_results_integrated_en.md,Section 3,yes,Fig. 1; Table 1; Table 2; Table 3; Table 5; Table 6,"RUN015 lock rows for source normalization, field review, mesh",all method placeholders,OK,Heading levels normalized for full draft.
Results,docs/manuscript_draft_sections/RUN014/methods_results_integrated_en.md,Section 4,yes,Fig. 2-Fig. 9; Table 2; Table 4-Table 6,all numeric lock rows,dielectric/risk placeholders,OK,Risk-zone wording retained as diagnostic/internal screening.
Limitations,docs/manuscript_draft_sections/RUN014/reviewer_risk_checklist.md; docs/manuscript_draft_sections/RUN015/manuscript_claim_boundary_notes.md,all rows/notes,yes,none,claim-boundary notes,manual reference tasks,OK,Generated from risk checklist and claim-boundary notes.
Conclusions,results/summary_tables/manuscript_ready/RUN015/text_evidence_lock_table.csv,all OK rows,yes,none,all numeric lock rows,none,OK,Only evidence-locked numerical conclusions used.
References placeholder list,results/summary_tables/manuscript_ready/RUN015/reference_resolution_matrix.csv,all placeholders,yes,none,none,all placeholders,NEEDS_MANUAL_CONFIRMATION,No formal bibliography fabricated.
Figure captions,docs/manuscript_draft_sections/RUN013/figure_captions_en.md,Fig. 1-Fig. 9,yes,Fig. 1-Fig. 9,none,none,OK,No new main figures added.
Table captions,docs/manuscript_draft_sections/RUN013/table_captions_en.md,Table 1-Table 6,yes,Table 1-Table 6,none,none,OK,No new tables added.
Supplementary note,results/summary_tables/manuscript_ready/manuscript_figure_index.csv,FigS1-FigS7 rows,yes,Fig. S1-Fig. S7,validation/audit routing,none,OK,Supplementary routing only.
